Heure;IP source;IP destination;Flag;Seq;Length
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[.];64615:66063,;"1448
"
11:42:30;BP-Linux8.40684;mauves.univ-st-etienne.fr.https:;[.];66063:67511,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[P.];67511:68959,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[.];68959:70407,;"0
"
11:42:30;BP-Linux8.40684;mauves.univ-st-etienne.fr.https:;[.];70407:71855,;"178
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[.];71855:73303,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[.];73303:74751,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[.];74751:75363,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[.];2518:2989,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[.];25296:26744,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[.];26744:28192,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[.];28192:29640,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[.];29640:31088,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[.];31088:32536,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[.];32536:33984,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[.];33984:35432,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[.];35432:36880,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[.];36880:38328,;"0
"
11:42:30;BP-Linux8.40684;mauves.univ-st-etienne.fr.https:;[.];38328:39776,;"1237
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[.];39776:41224,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[.];41224:42672,;"1448
"
11:42:30;BP-Linux8.40684;mauves.univ-st-etienne.fr.https:;[.];42672:44120,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[.];44120:45568,;"1448
"
